1,133,8,7
1,22319,10,10
1,43836,10,9
1,54380,7,7
1,54929,10,10
1,56397,7,6
1,67003,5,6
1,138830,10,10
1,180276,7,6
3,93891,10,11
4,68570,5,8
5,12107,10,11
6,131791,4,5
6,150020,7,7
7,328,5,6
7,110327,8,8
9,66787,9,8
9,71570,10,10
9,81470,10,10
9,131867,10,9
14,7219,7,7
14,63228,9,10
14,74958,1,2
17,1721,8,7
17,74257,8,9
19,33006,5,5
23,1721,5,5
23,72946,8,6
23,135270,7,5
24,121609,6,6
24,155380,6,5
24,179192,10,7
24,195268,2,3
26,156148,10,10
26,202830,6,7
28,119447,10,9
29,74257,9,8
29,96663,7,6
29,97992,8,8
31,143706,10,9
32,34328,7,7
34,31116,5,6
35,7219,5,7
35,9680,8,8
35,93458,10,8
35,94997,8,8
35,100855,10,11
35,162783,7,8
35,194553,6,7
37,47612,8,5
38,26640,10,9
38,88269,9,8
38,121116,7,8
39,73967,9,8
40,23795,10,5
40,37122,8,7
40,40998,7,8
40,101384,10,9
41,71636,10,10
42,9680,7,8
42,15406,7,7
42,42490,10,11
43,71636,10,9
44,159680,10,11
50,328,6,5
50,138830,10,9
51,31116,10,8
54,206613,1,4
55,179192,7,7
57,54759,5,6
57,135161,8,8
57,140729,10,10
58,1347,7,4
59,34219,10,9
59,130815,10,10
59,208304,6,9
59,208748,8,7
63,328,7,5
63,104401,7,5
63,162707,4,3
63,176904,5,4
64,14258,9,9
64,193687,7,7
65,1561,7,6
65,16546,1,5
65,34848,10,9
65,126293,9,7
65,150020,7,6
65,176904,5,5
66,117981,10,11
67,117041,8,8
68,7679,5,5
68,65602,10,10
68,89855,6,6
68,121205,9,7
68,143706,10,8
68,156369,10,10
69,156148,10,10
70,2111,8,10
71,110261,7,7
71,119962,6,8
73,15530,7,8
73,26485,7,8
73,72901,10,5
73,75169,10,10
73,97111,3,3
73,113740,9,9
73,116926,10,10
73,156908,10,10
73,159680,10,10
73,175218,7,6
73,205930,10,10
74,1029,7,6
74,7006,8,8
74,143706,8,8
75,20737,7,8
75,74617,10,10
75,194553,6,6
78,162707,2,4
79,10148,10,11
79,117041,8,9
79,179192,6,8
79,201897,8,7
84,65854,2,2
87,163100,7,6
88,60983,6,6
88,121116,8,8
90,155380,5,7
91,93681,10,8
92,35647,10,11
92,117041,8,9
94,117981,9,13
95,71636,10,8
96,7749,9,9
96,119962,9,8
101,26193,10,10
101,36964,7,8
101,67003,5,6
101,73107,6,7
101,117041,8,8
101,119434,6,5
101,184349,2,2
102,110327,8,11
104,31116,9,9
104,33216,10,9
104,71570,10,11
105,89855,6,6
105,110327,6,8
106,9680,6,7
106,72901,1,5
106,83601,5,6
106,180504,8,8
106,205930,10,10
108,121469,5,6
110,19006,10,12
110,102328,10,8
111,27528,6,6
111,36134,1,8
111,54982,10,8
112,34848,10,11
112,73107,8,8
112,143604,7,7
114,54929,10,10
114,114613,1,2
115,54929,10,10
115,94117,5,7
115,176744,5,6
115,180276,6,6
116,117775,10,10
116,175218,8,6
116,205930,10,10
119,63063,10,9
119,65602,10,9
119,73967,7,7
119,91375,7,7
119,94117,5,6
119,152830,5,5
119,156369,10,9
119,173600,6,5
119,196502,10,8
121,121859,10,9
121,193687,8,8
121,194553,5,6
123,16546,2,6
123,130970,10,10
125,34328,7,7
125,96663,7,7
126,10148,10,9
126,68989,6,5
126,97655,10,9
127,12006,7,7
127,180504,8,8
129,125294,9,9
129,126293,9,8
129,159680,10,11
129,173384,9,9
132,113794,8,8
133,74099,7,6
133,86442,6,5
134,328,7,7
134,1029,9,7
134,18287,10,8
134,36151,10,6
134,75169,10,10
134,120169,10,9
134,131446,5,6
136,34328,7,6
137,3132,7,6
137,51359,7,7
137,51895,5,5
137,93172,8,7
137,122382,8,7
139,110327,10,9
139,183960,10,10
140,45992,3,3
140,65602,10,8
140,83773,6,4
140,97655,10,8
140,113794,10,7
141,145007,9,9
141,219711,5,7
142,71636,10,9
146,7724,7,6
146,63063,10,9
146,72481,8,7
147,12006,10,7
147,19006,10,10
147,98678,10,10
147,179192,8,8
152,93458,10,9
152,101384,10,11
152,156148,10,12
152,163100,8,6
153,162707,4,3
154,11861,8,6
154,50408,8,8
154,89855,6,6
155,67003,9,6
155,75169,10,10
155,76524,10,10
155,160731,7,7
156,216006,1,1
157,7679,5,5
157,65679,5,6
157,72481,8,8
157,216793,4,7
158,71570,10,10
160,11861,6,6
160,179192,4,7
161,65602,10,8
161,65679,3,4
161,126924,1,6
162,81498,9,8
164,328,7,6
164,131669,10,10
165,7724,7,5
165,12513,10,9
165,68989,5,5
165,96796,8,5
165,145007,7,6
165,162707,5,3
166,20737,8,8
166,96796,6,7
167,31116,10,9
168,147383,9,8
169,22319,10,9
170,122905,1,2
171,89855,7,7
171,121609,10,7
172,96796,7,6
173,31116,7,8
173,33216,10,8
176,41492,3,4
176,86832,10,9
176,117041,8,7
176,121859,10,9
178,11861,5,5
178,12513,10,9
178,26274,1,0
178,38648,6,4
178,89855,6,5
178,119447,10,9
178,122382,5,5
178,184349,2,1
178,208516,9,6
180,41460,4,4
180,45992,3,4
180,60983,4,5
183,21497,10,10
183,24309,7,9
183,27528,7,8
183,33006,8,7
183,65218,10,10
185,60983,4,5
185,94117,5,5
185,107776,4,5
186,10148,10,12
186,128293,6,9
187,135161,7,8
187,140729,10,10
188,76524,10,9
188,89548,4,4
188,114613,1,2
188,132860,9,9
188,180276,5,5
190,31869,8,6
190,156148,10,9
190,180504,8,7
190,208748,6,5
191,97655,10,9
191,192666,3,2
192,5962,7,7
192,6269,7,9
194,180276,5,5
195,97111,10,3
195,138830,10,10
197,143706,10,8
203,7749,9,8
203,38648,5,5
203,40998,8,8
203,61157,10,10
203,63063,10,10
203,67003,5,6
203,97111,1,2
203,156908,10,10
204,12107,10,11
204,205930,10,10
205,31116,10,10
205,73728,8,10
207,7724,7,5
207,25083,10,9
207,193687,9,7
208,42490,10,11
208,74829,10,11
208,100855,10,11
211,23795,4,6
211,83773,6,6
211,89855,6,6
212,25083,10,10
212,119962,5,7
212,194553,7,6
213,2393,4,3
215,101384,10,10
217,30030,7,7
217,36583,8,10
217,48463,10,7
217,130815,10,10
220,201897,6,7
221,17400,7,8
223,121469,6,7
223,135270,8,8
225,154345,8,6
227,52391,10,8
228,20737,9,9
228,33006,6,7
228,121859,10,10
228,192666,7,3
228,193687,8,9
229,80463,9,10
229,117041,8,9
229,127341,10,11
229,162783,9,8
229,194553,7,7
229,208304,10,9
231,22319,10,8
233,131867,9,10
237,81470,10,9
239,98369,4,7
239,117981,10,10
241,71636,10,8
242,89543,7,7
244,30030,7,6
244,139552,10,10
245,22327,7,7
245,99476,5,5
246,25978,8,9
246,56116,8,9
247,173384,9,8
247,192666,1,3
248,6036,8,8
248,6932,6,6
248,13857,6,5
248,126293,7,8
248,156148,10,10
249,12513,10,9
251,25013,10,9
251,82962,1,3
251,121116,1,7
251,126047,7,6
251,144908,5,3
251,209245,7,6
252,18287,8,8
252,65679,9,5
252,89543,10,8
254,20737,9,9
254,37122,6,8
254,152830,9,7
256,9680,6,8
256,44262,6,8
256,126924,2,8
256,193687,7,9
257,7749,7,9
258,112056,4,4
260,14258,9,8
260,19006,10,9
260,25013,10,8
260,45992,2,4
260,135273,7,6
260,143706,5,7
260,196502,10,7
264,12107,10,10
264,41492,4,5
264,162783,8,7
264,205930,10,10
265,22319,10,9
265,22327,7,7
265,71636,10,9
265,74099,7,7
266,83773,6,6
268,73728,8,6
269,159680,10,10
270,1721,5,6
271,65602,10,9
271,121859,10,9
271,193216,8,7
272,7679,5,4
274,66787,7,8
275,6269,8,8
275,126293,7,6
277,147383,7,7
277,206613,4,5
279,2393,8,5
280,102328,10,6
280,106977,10,9
280,216006,1,1
283,36964,6,5
283,209245,6,4
283,216793,5,5
284,26084,8,9
284,117041,8,8
284,156148,10,10
284,192666,6,3
284,193687,8,9
284,201897,8,7
286,68716,8,7
286,72901,3,4
286,106977,10,8
288,15406,2,5
288,100855,10,9
290,328,10,8
290,1029,10,8
290,12513,10,11
290,20108,8,9
290,26274,10,3
291,104565,7,6
293,74257,9,7
293,135270,4,5
294,109101,7,8
295,3248,2,4
295,71570,10,10
295,119434,4,5
295,122905,1,1
296,71636,10,10
296,109101,8,8
297,483,6,7
297,193216,8,9
298,74958,1,1
298,96663,8,7
298,117981,10,10
299,6036,8,9
299,89548,7,5
299,120169,10,9
299,138830,10,11
299,179192,10,8
299,195268,2,4
300,1721,5,8
306,34328,7,5
306,126047,7,4
308,31116,7,6
309,7679,5,5
309,94117,6,7
309,105660,9,8
309,152029,8,4
310,208748,6,7
311,41492,9,6
312,11265,6,6
314,31116,6,1
315,11265,7,6
315,31116,5,6
315,144908,1,2
316,22327,8,7
316,57238,10,9
316,144908,5,3
318,7724,7,7
318,156148,10,10
318,156908,10,10
318,193687,9,9
321,3248,1,4
322,26193,10,10
322,117775,10,10
322,193687,10,8
322,202509,8,7
323,152830,5,5
324,9727,5,5
324,19006,10,11
324,65679,5,6
324,113740,9,10
324,125294,7,9
324,149421,9,5
324,202543,5,6
328,22319,10,11
330,192666,1,3
331,44077,6,7
331,122382,9,7
331,193687,8,8
332,7679,5,4
332,116926,10,9
332,121205,8,7
333,70692,5,5
333,72946,9,6
334,82962,1,2
334,113157,10,9
335,82962,1,2
335,113157,10,9
336,143604,3,5
337,7219,8,8
338,99476,3,6
339,117981,10,11
339,147383,8,8
339,202830,8,9
340,12513,10,10
340,162707,5,4
341,44262,10,9
341,46687,10,11
343,93172,9,6
343,102328,10,6
343,213358,9,7
344,6437,8,7
344,20737,9,9
344,34848,10,10
344,89855,7,6
344,180504,8,8
347,135270,7,7
348,75169,10,9
348,83773,10,5
348,104401,6,5
348,131915,5,4
349,25083,10,10
349,117041,8,8
349,162783,8,8
349,163100,5,5
350,121859,10,9
351,24294,9,8
352,7724,7,7
352,193687,8,8
356,97315,8,8
357,26084,9,9
357,31869,8,7
357,41492,10,5
361,41492,4,4
361,43836,10,8
361,51359,7,6
361,60983,5,5
361,63063,10,9
361,73967,5,7
361,76596,5,6
361,162707,3,3
364,66787,7,6
364,74257,8,8
364,154345,7,6
365,71636,10,9
365,82962,3,2
367,54759,5,5
368,10148,10,8
368,125294,8,6
369,74958,1,2
370,89855,6,5
370,101003,6,6
370,175218,4,5
373,110261,6,7
373,216793,5,8
374,83601,5,6
374,89543,8,8
377,1561,8,7
377,20108,8,9
377,26084,10,9
377,50408,6,8
377,89855,6,6
377,97111,1,3
377,107776,7,6
377,121205,5,8
377,180276,5,6
379,1347,7,3
379,6036,8,8
380,12788,10,9
380,19006,10,11
380,40998,9,9
380,51359,8,8
380,61157,10,11
380,83773,10,7
380,89543,10,9
380,184349,2,3
383,31116,10,8
383,33216,10,9
384,60983,5,5
384,92078,8,6
384,162707,3,3
385,12006,8,9
387,2111,8,7
387,33216,9,7
389,36793,10,10
