bias,item
0.704748071979,3333
-1.34009366755,6437
2.63859294872,6795
-0.776791666667,6932
1.12520588235,7006
-0.308821148825,7138
2.65019381313,10148
0.773145725389,10531
-1.7507,11492
2.31953693931,14258
2.6714375,14295
1.01784620419,18287
2.71166047745,19006
-0.763107594937,21127
2.66875835476,21256
1.56758442408,24294
-1.28693506494,25978
0.511487694301,26174
-0.655456072351,31234
0.487523498695,32953
0.528006459948,33558
-0.343410340314,38551
-1.01999291237,38839
-0.793672120419,39095
0.835321891192,40998
-2.054765625,45992
1.05537913486,50408
-3.66467810881,52621
2.69378981723,61157
-3.01050328947,65100
2.51725455729,65602
-0.521146573604,66478
-0.849183544304,67003
2.44475986842,67388
2.04293506494,68827
-1.04973478836,68989
-0.342120442708,69801
-1.4341875,72901
-1.17763147668,73107
0.157917763158,73741
-1.3146145288,74184
1.93415485564,74257
-1.06114082687,74675
2.71467754569,75169
2.62648465473,76524
-0.540894230769,76596
0.0358263707572,83563
-1.07922868217,83601
-0.873366666667,83773
-0.495236074271,84746
0.63280489418,84879
0.356727034121,86703
-0.487850923483,94922
-4.47791863517,97111
0.188748031496,97527
2.22064423077,97992
2.70371705426,98678
-0.493666666667,104401
0.0273893129771,104565
-2.07629276316,105618
-0.235766025641,109120
2.712676781,109557
2.68814745308,114577
-3.67518601583,114613
1.36423397436,116926
-0.817666226913,117461
-3.41161038961,118153
1.26298041775,120169
-0.856891304348,120180
-3.57639463351,121499
0.135241602067,129572
2.72090088384,130120
0.584962890625,130222
2.71114827128,130970
-2.1975655527,131791
2.10581662269,132860
0.157879557292,134344
1.61698915816,136495
-1.15158010336,143725
-2.22102384021,144908
0.569312830688,145007
-1.79603333333,155380
2.70209425134,155502
2.71088363171,156148
2.68752531646,159680
-0.605939205955,160731
-2.8427480315,162707
-3.11268910256,173219
-0.610125,175218
1.24723898964,178540
0.502139397906,179192
-1.0403257772,180276
-1.1232987013,182280
-4.56050328947,184349
2.6206070529,195250
-4.02962044271,195268
1.80137662338,199016
-3.15738511749,204106
-1.97918278894,213984
-1.52514755155,219711
