6040	1419	0
6040	318	4
6040	2858	4
6039	111	4
6039	1294	3
6039	1078	4
6039	900	3
6039	963	0
6039	1380	4
6039	2206	0
6039	950	4
6038	2716	3
6037	2028	4
6037	1267	5
6037	1193	4
6036	2428	0
6037	1945	4
6037	1237	0
6036	3005	0
6036	2842	0
6036	2997	4
6036	2147	0
6037	1941	0
6037	924	5
6036	2712	5
6036	2995	0
6036	2318	5
6037	3152	0
6036	3008	0
6036	2900	3
6037	3379	5
6036	2502	3
6036	2901	3
6036	3300	3
6036	3081	4
6036	745	5
6036	28	4
6036	2019	5
6036	1348	0
6036	1267	4
6036	903	0
6036	1299	4
6036	3545	0
6035	1876	1
6035	1580	4
6035	1527	5
6036	1150	0
6035	1831	1
6036	3148	2
6035	2986	1
6035	1200	2
6035	1240	3
6036	1594	0
6036	1387	4
6035	590	4
6035	475	3
6036	1264	0
6036	150	4
6036	1392	3
6035	1735	1
6035	2688	1
6035	1694	0
6035	224	0
6034	320	3
6034	3334	3
6035	31	0
6035	350	1
6036	921	3
6036	1096	0
6035	253	4
6035	3528	5
6036	32	3
6035	1923	1
6035	471	5
6035	539	2
6035	2004	0
6036	1582	0
6035	466	0
6035	1855	0
6035	1863	0
6035	870	0
6033	2526	0
6033	2701	2
6033	1201	4
6036	590	4
6033	1222	3
6033	1304	4
6033	457	5
6033	292	0
6033	1580	5
6033	1527	4
6040	2872	4
6036	3088	0
6040	2408	0
6036	2160	4
6036	529	3
6036	714	4
6036	2174	3
6036	2943	0
6032	2014	0
6036	2611	0
6036	1374	3
6031	1597	5
6036	367	2
6032	3508	3
6036	866	4
6032	3143	0
6032	1193	5
6032	1244	5
6032	3363	4
6032	2730	0
6032	2520	0
6031	1036	5
6031	3545	0
6030	2124	4
6031	2804	3
6032	1304	4
6031	361	4
6030	1097	3
6030	968	0
6030	1240	5
6031	2565	0
6032	17	5
6031	3418	0
6030	2640	4
6030	1396	5
6030	1573	4
6037	1358	3
6037	3334	3
6037	47	4
6032	1387	5
6037	2571	2
6037	1343	2
6030	1882	0
6037	910	5
6030	2054	3
6030	2	4
6032	594	4
6037	2239	0
6030	3438	0
6030	2253	4
6037	1963	0
6029	1210	3
6029	1961	0
6029	3505	5
6029	3006	5
6029	2762	5
6028	2402	3
6028	1221	3
6028	1954	4
6028	1101	5
6026	2533	2
6026	750	5
6026	1214	4
6026	589	4
6026	2571	4
6026	2657	3
6026	329	2
6026	2346	0
6026	1375	4
6026	1544	2
6027	457	5
6026	1037	3
