1,133,8,8
5,1339,10,8
9,361,6,0
9,466,3,6
9,531,8,6
9,538,10,7
9,856,8,0
10,767,1,0
17,480,10,6
41,716,6,6
60,425,2,8
67,1550,10,0
96,483,8,7
99,164,7,0
99,466,7,7
103,1097,1,0
123,973,7,4
127,328,7,5
128,42,4,4
134,225,1,7
134,1638,8,7
134,1640,2,0
136,1625,1,10
146,483,7,6
155,572,3,0
176,1438,6,5
221,328,6,0
229,907,8,0
238,512,2,0
251,55,5,5
251,460,10,5
251,466,5,5
251,538,7,5
275,328,6,0
280,1429,4,0
290,1029,10,9
297,545,10,8
299,568,6,0
299,672,10,10
313,1597,8,0
316,275,2,0
324,807,8,8
325,348,10,0
325,703,2,0
339,1053,6,0
341,907,10,0
343,133,7,8
348,328,6,7
349,907,10,8
364,881,1,0
364,1682,1,4
370,328,7,0
377,483,5,6
397,1440,4,0
417,394,10,0
422,76,5,6
422,328,5,6
429,669,1,0
449,58,1,5
451,1561,7,5
452,514,7,3
456,1125,2,1
474,1575,10,0
483,1043,6,5
506,952,1,4
513,679,4,6
513,1043,7,6
520,1675,7,8
536,924,10,6
536,1222,2,6
541,76,2,7
541,1429,7,7
545,380,1,0
549,444,6,4
564,1347,1,0
572,720,10,0
573,332,3,0
594,650,6,5
607,55,5,5
607,1043,6,5
607,1053,5,5
608,1347,3,0
623,982,3,0
626,328,10,0
628,1029,8,7
631,907,8,6
654,133,9,0
667,50,5,0
670,256,7,6
672,1466,4,0
675,873,6,7
677,133,5,8
679,972,2,0
682,554,5,10
684,1561,7,3
691,1561,7,10
693,1013,6,0
702,328,6,1
702,1561,7,1
