6040	912	5
6040	318	4
6040	2028	5
6039	282	4
6040	1641	4
6039	1276	4
6039	1028	4
6039	935	3
6039	1641	4
6039	661	3
6039	1083	3
6039	2208	0
6038	1136	4
6037	702	0
6037	3508	3
6037	2858	4
6037	3006	4
6036	3285	1
6037	2890	2
6037	1939	4
6037	959	0
6036	3053	0
6036	2805	2
6037	235	3
6036	2692	5
6036	2560	0
6036	2700	5
6036	2841	4
6036	2070	4
6036	1623	0
6036	2024	4
6036	3471	5
6036	2360	0
6035	25	1
6035	898	1
6035	1193	5
6036	1412	0
6036	1952	0
6035	1544	1
6036	1056	0
6035	541	4
6036	3068	4
6036	1254	4
6035	527	5
6035	306	5
6035	265	3
6035	590	4
6036	1208	5
6036	30	0
6036	3550	0
6036	1301	4
6036	594	5
6036	2208	0
6036	388	0
6035	2355	5
6035	333	1
6035	3208	1
6036	3111	0
6035	231	3
6035	2152	0
6033	260	4
6036	2729	4
6033	2944	3
6033	1127	4
6040	1189	5
6040	1242	3
6040	1200	3
6040	1124	2
6032	3524	4
6036	2570	0
6031	785	2
6031	840	0
6036	2852	0
6036	2157	0
6032	1206	5
6032	1284	5
6031	150	5
6032	1	4
6030	1374	5
6030	2021	4
6030	2613	2
6037	1358	3
6030	1371	0
6037	457	4
6032	2648	3
6037	1407	3
6037	319	5
6030	2643	0
6030	673	3
6037	837	3
6029	2840	3
6029	2829	3
6028	2894	0
6028	1610	4
6026	260	5
6026	610	3
6026	426	3
6026	674	4
6027	3255	4
6027	1188	5
6025	912	5
6025	2961	3
6025	2712	4
6025	1389	2
6025	1985	0
6025	1717	5
6025	1999	3
6025	1623	0
6025	247	4
6025	2801	0
6025	497	5
6025	1722	4
6025	140	3
6025	1541	2
6025	236	3
6025	736	4
6025	2316	3
6024	2683	4
6024	1911	0
6024	2805	4
6024	1610	5
6024	2991	4
6023	2881	4
6023	780	4
6023	2985	3
6023	70	2
6023	3274	4
6023	1917	5
6023	379	3
6036	2736	3
6036	803	0
6036	2442	0
6036	2640	2
6036	562	0
6036	3412	4
6023	172	3
6036	1642	0
6036	1465	3
6036	3112	0
6036	1177	3
6036	21	3
6036	1722	3
6036	2941	3
6036	2124	3
6036	2115	2
6036	187	3
6036	1081	3
6036	282	3
6036	1459	0
6036	410	3
6036	737	3
6036	256	0
6036	66	2
6021	2921	3
6022	1961	4
6021	1183	4
6021	2916	4
6021	2081	4
6021	2089	2
6021	3396	3
6021	1234	5
6021	1909	4
6020	1230	5
6021	2011	4
6020	3104	3
6020	2944	3
6020	3418	5
6019	524	3
6019	3576	2
6019	410	3
6019	2752	4
6019	1779	4
6019	434	3
6019	2322	3
6018	2024	3
6018	2720	0
6017	3408	5
6017	1281	0
6017	932	5
6018	2353	3
6017	2628	4
6017	2835	3
6018	288	4
6018	2802	3
6018	1077	5
6018	32	4
6016	2712	2
6016	2951	2
6016	2949	3
6016	2105	3
6016	1372	3
6016	208	1
6016	1586	3
6016	379	3
6016	1037	2
6015	2096	4
6016	2080	3
6015	1265	4
6016	1967	0
6016	531	3
6015	2384	2
6016	1013	2
6016	2059	3
6014	2859	4
6014	2204	0
6016	866	5
6016	1874	0
6016	1244	4
6013	3157	3
6016	2936	3
6014	2057	0
6016	1066	0
6016	1914	4
6016	1965	3
6016	1078	3
6016	345	3
6011	1196	5
6011	3471	4
6011	1214	4
6011	2021	5
6011	3527	2
6016	2372	2
6016	1457	2
6016	218	2
6011	588	5
6009	858	3
6009	1892	3
6011	1962	5
6011	954	4
6009	608	3
6011	2501	0
