85	3005	5
85	2710	2
624	2959	5
237	65	1
237	1431	2
237	435	2
237	250	2
237	3247	3
237	3261	3
237	586	4
237	1476	1
237	2706	1
237	69	2
237	3326	2
624	3916	3
242	3481	2
462	84	1
151	441	5
151	2706	5
151	52	3
151	2321	4
151	3052	3
151	1539	5
151	342	5
151	156	2
151	1784	4
151	1	2
151	2359	4
151	2395	4
151	3114	1
151	2278	4
151	3418	5
151	21	4
151	110	5
237	3564	1
237	367	3
237	1257	3
355	2529	4
355	2533	3
151	2245	5
151	3910	4
151	3784	3
549	3882	4
549	3615	1
624	3911	4
624	3948	5
611	2975	4
224	3079	4
224	904	5
228	3879	2
198	3752	4
198	3785	4
68	1747	5
68	2324	5
68	1912	4
65	832	5
65	3175	3
65	2858	3
528	750	3
195	3889	2
22	908	4
22	1034	4
22	1097	3
195	1136	4
195	1210	4
195	542	2
195	18	4
195	31	3
331	280	4
331	293	5
195	733	3
648	3893	2
648	3317	5
648	3897	5
195	1242	5
151	3911	4
151	3070	1
151	356	4
151	3863	3
151	3299	2
151	3831	4
151	3540	4
392	1262	5
392	3098	4
195	1252	5
173	1251	5
173	1394	3
173	2937	5
173	919	5
173	541	4
173	912	5
218	3893	5
218	3317	4
218	3916	5
293	3948	4
293	3746	4
355	1214	3
480	3623	1
480	3301	3
480	3408	2
