133145	219711	5
49069	219711	5
55152	219711	5
135240	219711	4
127610	219711	5
76082	219711	5
14105	219711	4
112590	219711	5
54023	219711	7
83459	219711	10
77954	219711	1
85488	219711	10
32108	219711	3
67100	219711	6
116685	219711	5
37710	219711	9
111064	219711	5
122486	219711	1
53920	219711	5
74270	219711	7
29518	219711	2
53729	219711	10
55670	219711	6
95082	219711	5
108490	219711	5
720	219711	9
131976	219711	4
104664	219711	4
85178	219711	6
29677	219711	5
25777	219711	8
21887	219711	5
20336	219711	6
116135	219711	7
13250	219711	3
103930	219711	10
40028	219711	3
7991	219711	7
10805	219711	2
127215	219711	7
100641	219711	5
83403	219711	5
12634	219711	5
44320	219711	4
43214	219711	5
20171	219711	6
78392	219711	5
77940	219711	5
3027	219711	5
99848	219711	10
76933	219711	4
64169	219711	1
92503	219711	5
32077	219711	6
76952	219711	5
63430	219711	3
42493	219711	5
67923	219711	6
86139	219711	1
68854	219711	3
120520	219711	4
33591	219711	5
82383	219711	10
47687	219711	5
20144	219711	4
99152	219711	5
127458	219711	5
23896	219711	3
111397	219711	5
61006	219711	5
21667	219711	4
43030	219711	5
63025	219711	6
73763	219711	10
89033	219711	3
14064	219711	4
19421	219711	4
33999	219711	4
81834	219711	4
46971	219711	6
47635	219711	4
57696	219711	4
76179	219711	4
66215	219711	6
87643	219711	7
48732	219711	3
20818	219711	8
27824	219711	5
101994	219711	5
59596	219711	4
62814	219711	5
129568	219711	10
31609	219711	6
65133	219711	7
7431	219711	3
8171	219711	7
93021	219711	5
55213	219711	6
67656	219711	10
11237	219711	6
70708	219711	10
120324	219711	5
134	219711	10
16014	219711	10
20080	219711	9
50016	219711	10
107337	219711	5
21511	219711	5
65906	219711	6
91565	219711	6
75974	219711	6
59565	219711	10
26401	219711	5
25535	219711	4
110108	219711	4
133819	219711	5
108267	219711	6
124652	219711	10
108348	219711	6
50327	219711	5
19644	219711	5
68969	219711	6
77473	219711	10
64438	219711	7
92097	219711	10
102754	219711	5
108416	219711	1
113264	219711	6
101346	219711	5
12221	219711	7
5443	219711	4
109311	219711	1
2983	219711	5
115816	219711	9
66344	219711	4
103348	219711	2
73420	219711	5
82369	219711	5
6796	219711	3
17630	219711	5
64795	219711	10
100930	219711	6
14566	219711	4
45697	219711	4
109414	219711	10
57252	219711	5
10358	219711	4
3011	219711	6
6751	219711	10
91111	219711	5
40863	219711	5
2176	219711	5
15810	219711	4
14004	219711	4
128339	219711	10
39717	219711	5
32346	213984	5
110114	213984	5
25777	213984	5
84376	213984	5
4100	213984	5
15590	213984	5
75459	213984	5
91565	213984	5
19836	213984	5
45768	213984	5
12836	213984	5
84323	213984	5
73040	213984	5
90075	213984	5
127610	213984	5
52517	213984	5
